제목,연도,나라,유형,장르,감독
이키루,2004,일본,장편,드라마,구로사와 아키라
인간의 고독한 목소리,1987,러시아,장편,드라마,알렉산더 소쿠로프
인디안 썸머,2001,한국,장편,드라마,노효정
인생,1994,중국,장편,드라마,장예모
인어 공주,2004,한국,장편,드라마,박흥식
일어나요  춘자씨,2014,한국,장편,드라마,노재현
있잖아요 비밀이에요,1990,한국,장편,드라마,조금환
잊지 못할 모정,1974,한국,장편,드라마,이규웅
자브리스키 포인트,1970,미국,장편,드라마,미켈란젤로 안토니오니
자유로운 세계,2007,영국,장편,드라마,켄 로치
자유의 언덕,2013,한국,장편,드라마,홍상수
자유의 이차선,1971,미국,장편,드라마,몬테 헬만
자유처녀,1982,한국,장편,드라마,김기영
작별들,2011,한국,장편,드라마,김백준
작은 마을,1997,터키,장편,드라마,누리 빌제 세일란
작은 영혼의 쉼터,2012,미국,장편,드라마,론 크라우스
작은 집,2014,일본,장편,드라마,야마다 요지
작전 23,2014,미국,장편,드라마,딜란 베이커
잔느 딜망,1975,프랑스,장편,드라마,샹탈 애커만
잠 못 드는 밤,2012,한국,장편,드라마,장건재
잠수종과 나비,2007,미국,장편,드라마,줄리언 슈나벨
잠자는 숲속의 미녀,2009,한국,장편,드라마,양지은
장례식의 멤버,2008,한국,장편,드라마,백승빈
장마,1979,한국,장편,드라마,유현목
장미빛 인생,1994,한국,장편,드라마,김홍준
재즈,2014,루마니아,단편,드라마,미르세아 이바도프
적도의 꽃,1983,한국,장편,드라마,배창호
전로정전,1986,홍콩,장편,드라마,이동승
전원,1976,러시아,장편,드라마,오타르 이오셀리아니
젊은 남자,1994,한국,장편,드라마,배창호
정글 속의 고릴라,1988,미국,장편,드라마,마이클 앱티드
정글피쉬,2010,한국,장편,드라마,최성범
정조,1979,한국,장편,드라마,정회철
제2의 사춘기,1987,한국,장편,드라마,박호태
제5계급,2012,미국,장편,드라마,빌 콘돈
제녀화,1976,홍콩,장편,드라마,오우삼
제로 모티베이션,2014,이스라엘,장편,드라마,탈야 라비
제보자,2014,한국,장편,드라마,임순례
제한 구역,2009,브라질,장편,드라마,조세 조필리
조류인간,2014,한국,장편,드라마,신연식
조용필 애창곡,2007,한국,장편,드라마,김종국
조용한 남자,2011,한국,장편,드라마,김재한
조우,2010,한국,장편,드라마,임태형
조제  호랑이 그리고 물고기들,2003,일본,장편,드라마,이누도 잇신
졸업생,1976,한국,장편,드라마,김기
종려나무 숲,2005,한국,장편,드라마,유상욱
종이 달,2014,일본,장편,드라마,요시다 다이하치
좋은 직업,1999,프랑스,장편,드라마,클레르 드니
죄수,2014,포르투갈,단편,드라마,마르가리다 마데이라스
주님의 사랑때문에,2011,캐나다,장편,드라마,미셸랭 랑토
주먹이 운다(Crying Fist),2004,한국,장편,드라마,류승완
죽기 전에 한 번만,2025,한국,장편,드라마,민채연
죽어도 좋아,2002,한국,장편,드라마,박진표
죽은 시인의 사회,1989,미국,장편,드라마,피터 위어
줄리 & 줄리아,2009,미국,장편,드라마,노라 에프론
줄탁동시,2011,한국,장편,드라마,김경묵
중경삼림,1994,홍콩,장편,드라마,왕가위
중광의 허튼소리,1986,한국,장편,드라마,김수용
중국식 룰렛,1976,서독,장편,드라마,라이너 베르너 파스빈더
쥐띠부인,1972,한국,장편,드라마,곽정환
즐거운 나의 집,1973,한국,장편,드라마,박남수
즐거운 인생,2007,한국,장편,드라마,이준익
증언,1973,한국,장편,드라마,임권택
지금  이대로가 좋아요,2008,한국,장편,드라마,부지영
지붕위의 남자,1978,한국,장편,드라마,박남수
지슬 - 끝나지 않은 세월2,2012,한국,장편,드라마,오멸
지첨태양,2012,중국,장편,드라마,황하
지충일기,2025,한국,장편,드라마,전성우 문승욱
지터스,2010,아이슬란드,장편,드라마,발트빈 조포니아손
지하도,1974,폴란드,단편,드라마,크지슈토프 키에슬로프스키
진짜로 일어날지도 몰라 기적,2011,일본,장편,드라마,고레에다 히로카즈
질투는 나의 힘,2002,한국,장편,드라마,박찬옥
집으로 가는 길,2013,한국,장편,드라마,방은진
집으로...,2002,한국,장편,드라마,이정향
쫄병수첩,1989,한국,장편,드라마,하주택
차가운 물,1994,프랑스,장편,드라마,올리비에 아사야스
차이나타운,1984,한국,장편,드라마,박우상
찰스 다윈: 종의 기원,2009,영국,장편,드라마,존 아미엘
참새들의 합창,2008,이란,장편,드라마,마지드 마지디
창녀 고문 지옥,1973,일본,장편,드라마,타나카 노보루
채식주의자,2009,한국,장편,드라마,임우성
챈스일병의 귀환,2009,미국,장편,드라마,로스 캐츠
챔피언,2002,한국,장편,드라마,곽경택
천국보다 낯선,1984,미국,장편,드라마,짐 자무시
천국에 있는 것처럼,2004,스웨덴,장편,드라마,케이 폴락
천국의 나날들,1978,미국,장편,드라마,테렌스 맬릭
천사의 대화,1985,영국,장편,드라마,데릭 저먼
천상의 몸,2011,이탈리아,장편,드라마,알리체 로르와커
천상인간,1999,홍콩,장편,드라마,유릭 와이
철원기행,2014,한국,장편,드라마,김대환
철인들,1983,한국,장편,드라마,배창호
첫돌,2011,미국,단편,드라마,앤드류 안
첫사랑,1997,홍콩,장편,드라마,갈민휘
청계천의 개,2009,한국,장편,드라마,김경묵
청소년 나타,1992,대만,장편,드라마,차이 밍 량
청연,2005,한국,장편,드라마,윤종찬
청원,2010,인도,장편,드라마,산제이 렐라 반살리
청춘 교사,1972,한국,장편,드라마,김기덕
청춘 딩가딩가딩,1992,일본,장편,드라마,오바야시 노부히코
청춘공화국,1976,한국,장편,드라마,최현민
청춘그루브,2010,한국,장편,드라마,변성현
청춘을 뜨겁게,1981,한국,장편,드라마,심우섭
초대,2011,한국,장편,드라마,김인식
초분,1977,한국,장편,드라마,이두용
초원의 강,1994,미국,장편,드라마,켈리 레인하르트
추위에 날무대가리가 터진 게지,2006,한국,장편,드라마,오창민
충녀,1972,한국,장편,드라마,김기영
충동,2013,독일,장편,드라마,그레고르 쉬니츠러
치명적 유혹,2001,미국,장편,드라마,에릭 깁슨
친구,2001,한국,장편,드라마,곽경택
친구여 조용히 가다오,1982,한국,장편,드라마,고영남
친밀함,2012,일본,장편,드라마,하마구치 류스케
친애하는 지도자동지께,2014,한국,장편,드라마,이상우
칠삭동이의 설중매,1988,한국,장편,드라마,권영순
칠수와 만수,1988,한국,장편,드라마,박광수
침입자,2004,프랑스,장편,드라마,클레르 드니
카나리아,2005,일본,장편,드라마,시오타 아키히코
카모메 식당,2006,일본,장편,드라마,오기가미 나오코
카트,2014,한국,장편,드라마,부지영
카페 뤼미에르,2003,일본,장편,드라마,허우 샤오시엔
캠프 엑스레이,2014,미국,장편,드라마,피터 새틀러
커피와 담배,2003,미국,장편,드라마,짐 자무시
케이브,2005,독일,장편,드라마,브루스 헌트
코러스,2004,프랑스,장편,드라마,크리스토퍼 파라티에
코리아,2011,한국,장편,드라마,문현성
코마,2009,일본,단편,드라마,가와세 나오미
코메디: 다 웃자고 하는 얘기,2012,한국,장편,드라마,김곡 김선
코알라,2013,한국,장편,드라마,김주환
코퍼스 칼로섬,2002,캐나다,장편,드라마,마이클 스노우
콘돌은 날아간다,2012,한국,장편,드라마,전수일
콜드 웨더,2010,미국,장편,드라마,아론 카츠
쿄코와 슈이치의 경우,2013,일본,장편,드라마,오쿠다 에이지
쿠미코  더 트레저 헌터,2014,미국,장편,드라마,데이비드 젤너
쿠치의 여름,2013,대만,장편,드라마,장초치
쿨하니까 괜찮아,2013,미국,장편,드라마,맥스 마이어
쿵후 선생,1994,대만,장편,드라마,이안
퀴스터스 부인의 천국 여행,1975,서독,장편,드라마,라이너 베르너 파스빈더
크라잉 게임,1993,영국,장편,드라마,닐 조단
크레이지,2008,미국,장편,드라마,릭 비버
크로스보,2007,호주,단편,드라마,데이비드 미쇼
크루징,2009,스페인,단편,드라마,후안마 카리요
크리스마스 오렌지,2012,미국,장편,드라마,존 라이드
크리스마스에 눈이 내리면,1998,한국,장편,드라마,장동홍
클라리티,2014,미국,장편,드라마,페이브 라즈
클라이드,2013,캐나다,장편,드라마,라미로 벨란저
클래식,2003,한국,장편,드라마,곽재용
클레르의 무릎,1970,프랑스,장편,드라마,에릭 로메르
클로즈업,1990,이란,장편,드라마,압바스 키아로스타미
키다리 아저씨,2004,한국,장편,드라마,공정식
키스할 것을,2010,한국,장편,드라마,박진오
키즈,1995,미국,장편,드라마,래리 클락
키즈 리턴: 재회의 시간,2013,일본,장편,드라마,시미즈 히로시
킹콩을 들다,2009,한국,장편,드라마,박건용
타락천사,1995,홍콩,장편,드라마,왕가위
타이페이 스토리,1985,대만,장편,드라마,에드워드 양
타인의 삶,2006,독일,장편,드라마,플로리안 헨켈 폰 도너스마르크
타임 투 리브,2005,프랑스,장편,드라마,프랑수아 오종
타짜,2006,한국,장편,드라마,최동훈
탈주,2008,한국,장편,드라마,이송희일
태권 파이터,1995,한국,장편,드라마,임선
태양은늙지않는다,1970,한국,장편,드라마,고영남
태양의 노래,2006,일본,장편,드라마,코이즈미 노리히로
터미널,2004,미국,장편,드라마,스티븐 스필버그
터치,2012,한국,장편,드라마,민병훈
테이크 미 투 더 리버,2014,미국,장편,드라마,맷 소벨
토니 타키타니,2004,일본,장편,드라마,이치카와 준
토미를 위하여,2014,영국,단편,드라마,루이스 라가예트
토이 솔저스,2014,미국,장편,드라마,에릭 피터 칼슨
토토의 천국,1991,프랑스,장편,드라마,자코 반 도마엘
톰보이,2011,프랑스,장편,드라마,셀린 시아마
투 라이프,2014,프랑스,장편,드라마,장 자크 질베르만
트라스-우스-몽트스,1976,포르투갈,장편,드라마,안토니우 레이스 마르가리다 코르데이루
트랙스,2013,영국,장편,드라마,존 커랜
트럭,1977,프랑스,장편,드라마,마르그리트 뒤라스
트럭 운전사 나미 3,2011,일본,장편,드라마,조조 히데오
트럭 운전사 나미1,2008,일본,장편,드라마,조조 히데오
트럭 운전사 나미2,2008,일본,장편,드라마,조조 히데오
트와일라잇 사사라 사야,2014,일본,장편,드라마,후카가와 요시히로
특별시 사람들,2007,한국,장편,드라마,박철웅
팀북투,2014,프랑스,장편,드라마,압데라만 시사코
파계,1974,한국,장편,드라마,김기영
파란자전거,2007,한국,장편,드라마,권용국
파멜라의 본능 2,1994,미국,장편,드라마,에드워드 홀즈맨
파수꾼,2010,한국,장편,드라마,윤성현
파업전야,1990,한국,장편,드라마,이은기 이재구 장동홍 장윤현
파우더 블루,2009,미국,장편,드라마,티모시 린 뷔
파우스트,2011,러시아,장편,드라마,알렉산더 소쿠로프
파이란,2001,한국,장편,드라마,송해성
파인더,2008,한국,장편,드라마,김미영
파티걸,2014,프랑스,장편,드라마,마리 아마호켈리
파파로티,2013,한국,장편,드라마,윤종찬
파편,2010,일본,장편,드라마,안도 모모코
패러독스,2001,프랑스,장편,드라마,베르나드 스토라
패션 오브 크라이스트,2004,미국,장편,드라마,멜 깁슨
팻 걸,2001,프랑스,장편,드라마,까트린느 브레이야
펑꾸이에서 온 소년,1983,대만,장편,드라마,허우 샤오시엔
페이스메이커,2011,한국,장편,드라마,김달중
페트라 폰 칸트의 쓰디쓴 눈물,1971,서독,장편,드라마,라이너 베르너 파스빈더
평화와 평온,1980,폴란드,장편,드라마,크지슈토프 키에슬로프스키
포 러브 위 캔,2014,홍콩,장편,드라마,치 렁 람
포도밭의 후계자,2011,프랑스,장편,드라마,질스 레그랑
포비든,2002,미국,장편,드라마,로버트 쿠빌로스
포항,2014,한국,장편,드라마,모현신
폭스와 그의 친구들,1975,서독,장편,드라마,라이너 베르너 파스빈더
폭풍의 질주,1990,미국,장편,드라마,토니 스콧
폭행 잭더리퍼,1976,일본,장편,드라마,하세베 야스하루
푸시 미,2014,스웨덴,단편,드라마,토베 필스
풀문 인 차이나,2002,한국,장편,드라마,김선영
품행,2011,쿠바,장편,드라마,에르네스토 다라나스
풍산개,2011,한국,장편,드라마,전재홍
풍선껌,2011,인도,장편,드라마,산지반 랄
프라미스드 랜드,2012,미국,장편,드라마,구스 반 산트
프랑스 영화처럼,2014,한국,장편,드라마,신연식
프로비던스,1977,프랑스,장편,드라마,알랭 레네
프리 윌리,1993,미국,장편,드라마,사이먼 윈서
플라워,2014,스페인,장편,드라마,욘 가라뇨 호세 마리 고에나가
플라이 대디,2006,한국,장편,드라마,최종태
플레이,2011,한국,장편,드라마,남다정
피닉스,2014,독일,장편,드라마,크리스티안 펫졸드
피델리오 - 바다의 여인  앨리스,2014,프랑스,장편,드라마,루시 보리튜
피아노 치는 대통령,2002,한국,장편,드라마,전만배
피아니스트,2001,프랑스,장편,드라마,미카엘 하네케
피아니스트,2002,프랑스,장편,드라마,로만 폴란스키
피에타,2012,한국,장편,드라마,김기덕
피와 뼈,2004,일본,장편,드라마,최양일
피터팬의 공식,2005,한국,장편,드라마,조창호
하나와 앨리스,2004,일본,장편,드라마,이와이 슌지
하나의 선택,1998,이탈리아,장편,드라마,베르나르도 베르톨루치
하늘나라에서 온 편지,1979,한국,장편,드라마,김준식
하데비치,2009,프랑스,장편,드라마,브루노 뒤몽
하드 라이프,2011,일본,장편,드라마,세키 켄지
하루,2001,한국,장편,드라마,한지승
하루,2014,이란,장편,드라마,레자 미르카리미
하류,1997,대만,장편,드라마,차이 밍 량
하모니,2009,한국,장편,드라마,강대규
하얀 나비,2009,한국,장편,드라마,김삼력
하얀 이끼,2014,러시아,장편,드라마,블라디미르 투마예프
하우스 오브 스피리트,1993,독일,장편,드라마,빌 어거스트
하이힐,1991,스페인,장편,드라마,페드로 알모도바르
하프,2014,한국,장편,드라마,김세연
학과 함께 날다,2012,중국,장편,드라마,리루이쥔
학생부군신위,1996,한국,장편,드라마,박철수
한공주,2013,한국,장편,드라마,이수진
한네의 승천,1977,한국,장편,드라마,하길종
할 수 있는 자가 구하라: 인생,1979,프랑스,장편,드라마,장 뤽 고다르
해 질 무렵,2010,네덜란드,장편,드라마,한로 스미츠만
해뜰날,1976,한국,장편,드라마,서윤모
해리포터와 비밀의 방,2002,미국,장편,드라마,크리스 콜럼버스
해리포터와 아즈카반의 죄수,2004,미국,장편,드라마,알폰소 쿠아론
해무(海霧),2014,한국,장편,드라마,심성보
해바라기,1970,이탈리아,장편,드라마,비토리오 데 시카
해변의 폴린,1983,프랑스,장편,드라마,에릭 로메르
해탄적일천,1983,대만,장편,드라마,에드워드 양
해피 해피 브레드,2012,일본,장편,드라마,미시마 유키코
행복은 성적순이 아니잖아요,1989,한국,장편,드라마,강우석
행복의 노란 손수건,1977,일본,장편,드라마,야마다 요지
행복의 향기,2008,일본,장편,드라마,미하라 미츠히로
향기의 상실,2010,일본,장편,드라마,림카와이
향혼녀,1993,중국,장편,드라마,사비
허삼관,2014,한국,장편,드라마,하정우
허수아비,1998,브라질,단편,드라마,알레 아브레우
헐리우드 키드의 생애,1994,한국,장편,드라마,정지영
헛소동,2012,미국,장편,드라마,조스 웨던
헤븐,2011,한국,장편,드라마,현종문
혁명의 천사들,2014,러시아,장편,드라마,알렉세이 페도르첸코
혈육애,1976,한국,장편,드라마,김기영
형,2004,한국,장편,드라마,박우상
혜화  동,2010,한국,장편,드라마,민용근
호로비츠를 위하여,2006,한국,장편,드라마,권형진
호수의 란슬롯,1974,프랑스,장편,드라마,로베르 브레송
호수의 이방인,2013,프랑스,장편,드라마,알랭 기로디
혹한,2014,스페인,장편,드라마,가브리엘 벨라스퀘즈
홈부르크의 왕자,1997,이탈리아,장편,드라마,마르코 벨로치오
홍등,1991,중국,장편,드라마,장예모
홍살문,1972,한국,장편,드라마,변장호
화녀촌,1985,한국,장편,드라마,김기
화성으로 간 사나이,2003,한국,장편,드라마,김정권
화이트 마사이,2005,독일,장편,드라마,헤르민 훈트게르부르스
화장,2014,한국,장편,드라마,임권택
환상의 빛,1995,일본,장편,드라마,고레에다 히로카즈
환호성,2011,한국,장편,드라마,정재훈
황소자리,2001,러시아,장편,드라마,알렉산더 소쿠로프
황토지,1984,중국,장편,드라마,첸 카이거
황혼의 빛,2006,핀란드,장편,드라마,아키 카우리스마키
효자동 이발사,2004,한국,장편,드라마,임찬상
후난에서 온 여인,1987,중국,장편,드라마,사비
후세인의 미친 노래,2001,미국,장편,드라마,존 지안비토
후아유,2002,한국,장편,드라마,최호
휴먼 스테인,2003,미국,장편,드라마,로버트 벤튼
휴일없는 삶,2006,싱가포르,단편,드라마,에릭 쿠
흉터,2011,한국,장편,드라마,임우성
흐르는 강물처럼,1992,미국,장편,드라마,로버트 레드포드
희몽인생,1993,대만,장편,드라마,허우 샤오시엔
희생여행,2014,대만,단편,드라마,잉정루
히말라야  바람이 머무는 곳,2008,한국,장편,드라마,전수일
히어로,2007,일본,장편,드라마,스즈키 마사유키
A사인데이즈,1989,일본,장편,드라마,최양일
H 스토리,2001,일본,장편,드라마,스와 노부히로
담보,2020,한국,장편,드라마,강대규
러브,2015,프랑스,장편,멜로/로맨스,가스파 노에
일본 료칸형 호텔의 마사지사,2018,일본,장편,멜로/로맨스,가토 마사키
유카타를 벗은 유부녀를 마사지,2018,일본,장편,멜로/로맨스,가토 마사키
노골적인 형수님,2016,일본,장편,멜로/로맨스,가토 이타야
다방엄마,2018,한국,장편,멜로/로맨스,감수성
우리가족같이,2018,한국,장편,멜로/로맨스,감수성
수상한 노래방,2018,한국,장편,멜로/로맨스,감수성 강수성
아빠친구2,2018,한국,장편,멜로/로맨스,감자
착한 이모의 은밀한 아르바이트,2018,한국,장편,멜로/로맨스,강대만 유승택
아내의 동영상,2016,한국,장편,멜로/로맨스,강명진
엄딸,2016,한국,장편,멜로/로맨스,강백호
맛있는 누나들,2018,한국,장편,멜로/로맨스,강백호
나만의 승진 테크닉,2016,한국,장편,멜로/로맨스,강백호
라면 먹고 갈래?,2016,한국,장편,멜로/로맨스,강백호
초대남,2017,한국,장편,멜로/로맨스,강유민
캘린더걸,2016,한국,장편,멜로/로맨스,강현철
유부녀들(무삭제),2015,한국,장편,멜로/로맨스,경석호
타부 : 금지된 사랑,2015,한국,장편,멜로/로맨스,고구마
채팅남과 리얼섹스,2018,일본,장편,멜로/로맨스,고바야시 이치로
변태 새엄마의 감옥정사,2018,일본,장편,멜로/로맨스,고바야시 이치로
갑질당하는 육덕가정부,2018,일본,장편,멜로/로맨스,고바야시 이치로
미처 몰랐던 건,2017,한국,장편,멜로/로맨스,고은총
옆에서 숨만 쉬어도 좋아,2023,한국,장편,멜로/로맨스,고형주
너의 재생목록,2021,한국,장편,멜로/로맨스,곽봉철
더티웨딩,2017,한국,장편,멜로/로맨스,국만중
원정여행,2017,한국,장편,멜로/로맨스,국만중
힐링캠프 : 한 세상,2017,한국,장편,멜로/로맨스,국만중
폭풍정사,2015,한국,장편,멜로/로맨스,국영수
S걸의 덫,2017,브라질,장편,멜로/로맨스,그레고리 하타나카
내 학생의 엄마,2016,한국,장편,멜로/로맨스,기대호
착한 형수,2016,한국,장편,멜로/로맨스,기대호
바람난 여자들,2016,한국,장편,멜로/로맨스,기대호
이웃동서,2016,한국,장편,멜로/로맨스,기대호
옆집누나들,2018,한국,장편,멜로/로맨스,김경택
가슴큰누나들,2018,한국,장편,멜로/로맨스,김경택
이모의 유혹,2017,한국,장편,멜로/로맨스,김경택
트로트,2015,한국,장편,멜로/로맨스,김기훈
만약에 우리,2024,한국,장편,멜로/로맨스,김도영
한양기방 명기전,2015,한국,장편,멜로/로맨스,김민욱
시맨틱 에러: 더 무비,2022,한국,장편,멜로/로맨스,김수정
일반인,2018,한국,장편,멜로/로맨스,김영민
도시의 연애담,2020,한국,장편,멜로/로맨스,김영빈
탐욕,2016,한국,장편,멜로/로맨스,김정욱
신입사원: 더 무비,2023,한국,장편,멜로/로맨스,김조광수
낮과 밤은 서로에게(가제),2024,한국,장편,멜로/로맨스,김종관
최악의 하루,2016,한국,장편,멜로/로맨스,김종관
팔월  비,2016,한국,장편,멜로/로맨스,김지용
흔들리는 물결,2015,한국,장편,멜로/로맨스,김진도
야한이야기,2016,한국,장편,멜로/로맨스,김철수
열리는 누나들,2020,한국,장편,멜로/로맨스,김태규
맛있는 치섹,2021,한국,장편,멜로/로맨스,김태훈
위험한 사촌동생,2021,한국,장편,멜로/로맨스,김태훈
선 섹스 후 사랑,2016,한국,장편,멜로/로맨스,김현철
내가 죽기 일주일 전,2024,한국,장편,멜로/로맨스,김혜영 최하나
착한 여비서의 목적,2016,한국,장편,멜로/로맨스,김효재
젊은 엄마 4,2015,한국,장편,멜로/로맨스,김효재
썸머타임: 아름다운 계절,2015,프랑스,장편,멜로/로맨스,까뜨린느 꼬르시니
초고속 핫팬츠로드,2017,일본,장편,멜로/로맨스,나츠메 다이이치
파라노말 기생충,2018,일본,장편,멜로/로맨스,나츠메 타이치로
소녀는 졸업하지 않는다,2023,일본,장편,멜로/로맨스,나카가와 슌
두 번째 여름  두 번 다시 만날 수 없는 너,2017,일본,장편,멜로/로맨스,나카니시 켄지
윤율의 VIP 미용실,2021,한국,장편,멜로/로맨스,남욱재
올래?! 천사들의 도시편,2017,한국,장편,멜로/로맨스,노승탁
식모-머피의 법칙,2019,한국,장편,멜로/로맨스,노현진
맛있는 아내(무삭제판),2018,한국,장편,멜로/로맨스,노현진
내 아내의 초대남들:네토라레,2017,한국,장편,멜로/로맨스,노현진
걸스 & 보이즈,2015,스웨덴,단편,멜로/로맨스,니냐 티버그
가을의 마티네,2019,일본,장편,멜로/로맨스,니시타니 히로시
바르셀로나 크리스마스 나잇,2015,스페인,장편,멜로/로맨스,다니 드 라 오든
감성에 젖은 음대선생님,2018,일본,장편,멜로/로맨스,다카사카 나오미
역대급 유부녀수영교실,2018,일본,장편,멜로/로맨스,다카하시 노부유키
인터뷰 그녀의 속사정,2020,한국,장편,멜로/로맨스,데니 장
꽃다발 같은 사랑을 했다,2021,일본,장편,멜로/로맨스,도이 노부히로
내 친한 친구의 아침식사,2022,대만,장편,멜로/로맨스,두정철
상은: 너에게 중독되다,2016,중국,장편,멜로/로맨스,딩웨이
크루즈,2018,미국,장편,멜로/로맨스,로버트 D. 시겔
원 데이-특별판,2020,미국,장편,멜로/로맨스,론 쉐르픽
불량섹스,2021,일본,장편,멜로/로맨스,료타
우견니,2022,중국,장편,멜로/로맨스,루오 루오
더티 워크,2018,영국,장편,멜로/로맨스,루이자 워렌
그녀가 사라졌다,2020,호주,장편,멜로/로맨스,루크 이브
불쾌한 섹스,2021,일본,장편,멜로/로맨스,류타
열려버린 조리개,2021,일본,장편,멜로/로맨스,류타
성욕 도우미,2021,일본,장편,멜로/로맨스,류타
만물생장-끝없는 관계,2015,중국,장편,멜로/로맨스,리 위
시칠리아 햇빛아래,2016,홍콩,장편,멜로/로맨스,린 유쉰
피에르 보나르  마르타 보나르,2023,프랑스,장편,멜로/로맨스,마르탱 프로보스트
오 나의 첫경험,2015,아르헨티나,단편,멜로/로맨스,마리아노 비아신
탐스러운 친구여친,2020,일본,장편,멜로/로맨스,마메자와 마메타로
불륜 직장,2020,일본,장편,멜로/로맨스,마메자와 마메타로
만족한 장모님,2020,일본,장편,멜로/로맨스,마메자와 마메타로
젊은 장모님,2020,일본,장편,멜로/로맨스,마메자와 마메타로
여직원 오일마사지,2016,일본,장편,멜로/로맨스,마사 아다쿠
너를 찾아서,2019,미국,장편,멜로/로맨스,마사 쿨리지
에로 킬러 에리카,2016,일본,장편,멜로/로맨스,마사츠 구아시
우연한 정사,2016,태국,장편,멜로/로맨스,마우스 수와나
애욕의 잔다라 후예들,2016,태국,장편,멜로/로맨스,마우스 수와나
옆집여자,2017,한국,장편,멜로/로맨스,마의성 정태성
빅 식,2017,미국,장편,멜로/로맨스,마이클 쇼월터
에브리데이,2018,미국,장편,멜로/로맨스,마이클 수지
그녀가 그녀를 사랑할 때,2015,일본,장편,멜로/로맨스,마츠모토 유사쿠
욕망의 손길,2022,일본,장편,멜로/로맨스,마츠이 다이고
이상한 섹녀 연화,2023,한국,장편,멜로/로맨스,마태수
쁘떼뜨,2019,독일,장편,멜로/로맨스,마틴 슈라이어
엄마친구 5,2017,한국,장편,멜로/로맨스,명석환
스와핑 하던 날,2016,한국,장편,멜로/로맨스,명석환
여직원들 : 직장연애사,2016,한국,장편,멜로/로맨스,명석환
사랑의 탐구,2023,캐나다,장편,멜로/로맨스,모니아 쇼크리
불륜백서: 아내의 피트니스 강사,2015,일본,장편,멜로/로맨스,모리 쥰
야외 거유의 유혹,2015,일본,장편,멜로/로맨스,모리야마 시게오
불륜은 역시 이웃과,2020,일본,장편,멜로/로맨스,미시마 로쿠사부로
카섹-직장인 버전,2020,일본,장편,멜로/로맨스,미시마 로쿠사부로
그 아이의 포로,2018,일본,장편,멜로/로맨스,미야와키 료
장난스런 키스 더 무비 2 : 캠퍼스 편,2017,일본,장편,멜로/로맨스,미조구치 미노루
식물도감,2016,일본,장편,멜로/로맨스,미키 코이치로
오늘 밤  세계에서 이 사랑이 사라진다 해도,2022,일본,장편,멜로/로맨스,미키 타카히로
유어 아이즈 텔,2020,일본,장편,멜로/로맨스,미키 타카히로
누나 친구 4,2024,한국,장편,멜로/로맨스,민정현
사랑인가 바,2021,한국,장편,멜로/로맨스,민채연
곤돌라,2023,독일,장편,멜로/로맨스,바이트 헬머
파도 여인 그리고 탱고,2015,한국,장편,멜로/로맨스,박갑종
재회,2017,한국,장편,멜로/로맨스,박기용
녹화중이야,2015,한국,장편,멜로/로맨스,박민국
달콤한 섹스,2017,한국,장편,멜로/로맨스,박선욱
처제의 유혹,2017,한국,장편,멜로/로맨스,박선욱
옆집소녀,2016,한국,장편,멜로/로맨스,박선욱
내 남편의 가정교사,2016,한국,장편,멜로/로맨스,박선욱
컬러러쉬2,2022,한국,장편,멜로/로맨스,박선재
컬러러쉬,2021,한국,장편,멜로/로맨스,박선재
위드,2015,한국,장편,멜로/로맨스,박성수
스와핑 민박집,2018,한국,장편,멜로/로맨스,박은수
불륜의 시대 감독판,2017,한국,장편,멜로/로맨스,박은수
하숙집오!번지,2022,한국,장편,멜로/로맨스,박은주
젊은 형부,2016,한국,장편,멜로/로맨스,박은호
두처제2,2017,한국,장편,멜로/로맨스,박주영
엄마의 맛,2017,한국,장편,멜로/로맨스,박주영
정사-두자매,2017,한국,장편,멜로/로맨스,박주영
이채담의 지스팟,2017,한국,장편,멜로/로맨스,박주영
3분 파트너,2017,한국,장편,멜로/로맨스,박주영
처제의 꿈,2016,한국,장편,멜로/로맨스,박주영
두처제,2016,한국,장편,멜로/로맨스,박주영
그대 너머에,2020,한국,장편,멜로/로맨스,박홍민
마가렛 앤 줄리앙:금지된 사랑,2015,프랑스,장편,멜로/로맨스,발레리 돈젤리
매니저,2018,한국,장편,멜로/로맨스,백마
더 비스트,2023,프랑스,장편,멜로/로맨스,베르트랑 보넬로
형수님의 수치심,2017,일본,장편,멜로/로맨스,베타 타카오
아비바,2020,프랑스,장편,멜로/로맨스,보아즈 야킨
다시맛난 선생님,2021,일본,장편,멜로/로맨스,사다오카 사다오
안녕  나의 소녀,2017,대만,장편,멜로/로맨스,사준의
그녀의 섹스테크닉,2016,일본,장편,멜로/로맨스,사카모토 레이
극장판 아름다운 그: 이터널,2023,일본,장편,멜로/로맨스,사카이 마이
조깅하는 유부녀와 정사,2018,일본,장편,멜로/로맨스,사토 미유키
색정유령펜션,2015,일본,장편,멜로/로맨스,사토 오사무
우이 러브,2018,일본,장편,멜로/로맨스,사토 유이치
동감,2022,한국,장편,멜로/로맨스,서은영
초인,2015,한국,장편,멜로/로맨스,서은영
야근: 여과장의 사생활,2020,한국,장편,멜로/로맨스,서인천
남자가정부,2020,한국,장편,멜로/로맨스,서인천
아이돌연습생 내 여동생의 친구들,2020,한국,장편,멜로/로맨스,서인천
내 여자친구의 언니들,2020,한국,장편,멜로/로맨스,서인천
내 여자의 엄마(무삭제),2016,한국,장편,멜로/로맨스,석영오
